MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC04090591_decoys_final_002497.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-162.971	2.54422	-	-	-	-	G
ZINC04090591_decoys_final_002497.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-78.067	0.226102	-	-	-	-	R
ZINC04090591_decoys_final_002497.pdbqt	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	85.9647	0.133556	-	-	-	-	R
ZINC04090591_decoys_final_002497.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX3:3]=[*H0:4]	0.00551924	14.8148	-	-	-	-	G
ZINC04090591_decoys_final_002497.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0219891	63.7893	-	-	-	-	G
ZINC04090591_decoys_final_002497.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H1])=[O:4]	-149.624	1.39252	-	-	-	-	G
ZINC08671587_decoys_final_000839.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	73.019	1.01935	-	-	-	-	G
ZINC08671587_decoys_final_000839.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-179.682	18.2537	-	-	-	-	G
ZINC08671587_decoys_final_000839.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	108.39	0.770028	-	-	-	-	O
ZINC08671587_decoys_final_000839.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	172.995	4.3837	-	-	-	-	G
ZINC08671587_decoys_final_000839.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	102.708	0	-	-	-	-	R
ZINC08671587_decoys_final_000839.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-49.2494	0.958827	-	-	-	-	O
ZINC08671587_decoys_final_000839.pdbqt	B	[*:1][$(S(=O)=O):2]!@[NX3H0r:3][*:4]	74.2552	17.2275	-	-	-	-	G
ZINC22448026_decoys_final_002516.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	115.297	1.62057	-	-	-	-	O
ZINC22448026_decoys_final_002516.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	75.5172	1.59445	-	-	-	-	O
ZINC22448026_decoys_final_002516.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	3.55758	6.93139	-	-	-	-	G
ZINC22448026_decoys_final_002516.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-29.6967	4.48578	-	-	-	-	G
