MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL371462_actives_final_000032.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	46.3605	0.186778	-	-	-	-	R
CHEMBL371462_actives_final_000032.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-79.3065	0	-	-	-	-	R
CHEMBL371462_actives_final_000032.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-5.05798	15.5319	-	-	-	-	G
CHEMBL371462_actives_final_000032.pdbqt	B	[$([C](=O)):1][NX3H1:2]!@[$([a]([nH0,o])):3][cH1:4]	81.229	0.215054	-	-	-	-	R
CHEMBL371462_actives_final_000032.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-163.972	3.7194	-	-	-	-	G
CHEMBL371462_actives_final_000032.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	156.871	4.22778	-	-	-	-	O
CHEMBL371462_actives_final_000032.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-157.172	1.57588	-	-	-	-	O
CHEMBL575087_actives_final_000103.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-156.894	2.54422	-	-	-	-	O
CHEMBL575087_actives_final_000103.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-125.35	1.88592	-	-	-	-	G
CHEMBL575087_actives_final_000103.pdbqt	B	[cH0:1][c:2]([cH0])!@[O:3][c:4]	-98.1628	7.70393	-	-	-	-	G
CHEMBL575087_actives_final_000103.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	62.1006	1.72297	-	-	-	-	O
CHEMBL572842_actives_final_000083.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-171.152	6.01001	-	-	-	-	G
CHEMBL572842_actives_final_000083.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	151.586	2.94388	-	-	-	-	G
CHEMBL572842_actives_final_000083.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-71.4516	1.5934	-	-	-	-	O
CHEMBL572842_actives_final_000083.pdbqt	B	[aH0:1][c:2]!@[OX2:3][!#1:4]	-79.6711	3.90438	-	-	-	-	G
CHEMBL573750_actives_final_000081.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-158.711	2.54422	-	-	-	-	O
CHEMBL573750_actives_final_000081.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-114.97	2.98988	-	-	-	-	G
CHEMBL573750_actives_final_000081.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	60.2784	1.72297	-	-	-	-	O
