MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL217852_actives_final_000020.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-108.221	0.0805477	-	-	-	-	R
CHEMBL217852_actives_final_000020.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.00445	14.9156	-	-	-	-	G
CHEMBL217852_actives_final_000020.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	155.136	0.812069	-	-	-	-	G
CHEMBL217852_actives_final_000020.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H1:3][H:4]	94.5528	0.168067	-	-	-	-	R
CHEMBL217852_actives_final_000020.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-6.31251	1.84114	-	-	-	-	G
ZINC20753297_decoys_final_000470.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	102.619	8.53779	-	-	-	-	G
ZINC20753297_decoys_final_000470.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-132.858	5.31355	-	-	-	-	G
ZINC20753297_decoys_final_000470.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	179.091	0	-	-	-	-	R
ZINC20753297_decoys_final_000470.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH1:4]	78.629	3.81356	-	-	-	-	G
CHEMBL441373_actives_final_000056.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-104.109	0.0402739	-	-	-	-	R
CHEMBL441373_actives_final_000056.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.29911	14.9156	-	-	-	-	G
CHEMBL441373_actives_final_000056.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	173.486	1.7955	-	-	-	-	G
CHEMBL441373_actives_final_000056.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	149.575	1.17362	-	-	-	-	G
CHEMBL441373_actives_final_000056.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H1:3][H:4]	-7.48681	11.0924	-	-	-	-	G
ZINC33171472_decoys_final_002239.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	93.5406	0.30147	-	-	-	-	R
ZINC33171472_decoys_final_002239.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	-94.0291	5.18797	-	-	-	-	G
ZINC33171472_decoys_final_002239.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	-88.5693	5.18797	-	-	-	-	G
ZINC33171472_decoys_final_002239.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-34.0535	2.33993	-	-	-	-	O
CHEMBL424724_actives_final_000003.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.3248	14.9156	-	-	-	-	G
CHEMBL424724_actives_final_000003.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-109.089	0.0805477	-	-	-	-	R
CHEMBL424724_actives_final_000003.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	-92.4356	5.18797	-	-	-	-	G
CHEMBL424724_actives_final_000003.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	119.241	3.70301	-	-	-	-	G
CHEMBL424724_actives_final_000003.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	85.6832	3.65147	-	-	-	-	G
CHEMBL424724_actives_final_000003.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H1:3][H:4]	83.2935	0.0840336	-	-	-	-	R
ZINC14475320_decoys_final_000465.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	96.8093	8.53779	-	-	-	-	G
