MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL1092063_actives_final_000106.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-13.3303	12.1111	-	-	-	-	G
CHEMBL1092063_actives_final_000106.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	73.2934	6.18182	-	-	-	-	G
CHEMBL1092063_actives_final_000106.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	5.66662	9.49289	-	-	-	-	G
CHEMBL1092063_actives_final_000106.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	141.903	5.86608	-	-	-	-	G
CHEMBL1092063_actives_final_000106.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-116.909	2.51495	-	-	-	-	G
CHEMBL1092063_actives_final_000106.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	37.5267	0.106073	-	-	-	-	R
CHEMBL1082023_actives_final_000024.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	5.84276	5.81671	-	-	-	-	G
CHEMBL1082023_actives_final_000024.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	130.476	9.62922	-	-	-	-	G
CHEMBL1082023_actives_final_000024.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	79.7975	4	-	-	-	-	G
CHEMBL1082023_actives_final_000024.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	5.77131	9.49289	-	-	-	-	G
CHEMBL1082023_actives_final_000024.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-11.1481	2.18818	-	-	-	-	O
CHEMBL1082023_actives_final_000024.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	48.5259	2.75505	-	-	-	-	O
CHEMBL1092925_actives_final_000100.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	173.222	4.83415	-	-	-	-	G
CHEMBL1092925_actives_final_000100.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	115.714	4.89762	-	-	-	-	G
CHEMBL1092925_actives_final_000100.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-107.495	3.93971	-	-	-	-	G
CHEMBL1092925_actives_final_000100.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	30.6302	0	-	-	-	-	R
CHEMBL1092925_actives_final_000100.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	51.8987	2.75505	-	-	-	-	O
ZINC39143948_decoys_final_000826.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH0:4]	125.81	3.04183	-	-	-	-	G
ZINC39143948_decoys_final_000826.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	78.5434	5.47945	-	-	-	-	G
ZINC39143948_decoys_final_000826.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	-157.548	0.197406	-	-	-	-	R
ZINC39143948_decoys_final_000826.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	39.5713	1.4276	-	-	-	-	O
CHEMBL272424_actives_final_000124.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	107.78	0.339153	-	-	-	-	R
CHEMBL1093119_actives_final_000052.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-3.49382	25.7136	-	-	-	-	G
CHEMBL1093119_actives_final_000052.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	78.7594	4	-	-	-	-	G
CHEMBL1093119_actives_final_000052.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	5.76318	9.49289	-	-	-	-	G
CHEMBL1093119_actives_final_000052.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-64.8949	6.50249	-	-	-	-	G
CHEMBL1093119_actives_final_000052.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	83.5221	6.09798	-	-	-	-	G
CHEMBL1093119_actives_final_000052.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	107.602	1.04747	-	-	-	-	O
CHEMBL412099_actives_final_000019.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-150.435	2.47456	-	-	-	-	G
ZINC02092533_decoys_final_000220.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-100.516	0.510705	-	-	-	-	O
ZINC02092533_decoys_final_000220.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	174.8	9.79917	-	-	-	-	G
ZINC02092533_decoys_final_000220.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	96.1084	0.592386	-	-	-	-	O
ZINC02092533_decoys_final_000220.pdbqt	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	156.196	2.70565	-	-	-	-	O
ZINC02092533_decoys_final_000220.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	161.692	2.73742	-	-	-	-	G
ZINC02092533_decoys_final_000220.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	159.263	0	-	-	-	-	R
CHEMBL1089773_actives_final_000054.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	177.789	7.79121	-	-	-	-	G
CHEMBL1089773_actives_final_000054.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	118.453	4.89762	-	-	-	-	G
CHEMBL1089773_actives_final_000054.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-98.2057	4.86468	-	-	-	-	G
CHEMBL1089773_actives_final_000054.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	113.876	1.04747	-	-	-	-	O
CHEMBL1089773_actives_final_000054.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	70.7631	1.9752	-	-	-	-	O
CHEMBL1088856_actives_final_000097.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	165.432	4.83415	-	-	-	-	G
CHEMBL1088856_actives_final_000097.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	124.679	4.89762	-	-	-	-	G
CHEMBL1088856_actives_final_000097.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	85.5294	5.09091	-	-	-	-	G
CHEMBL1088856_actives_final_000097.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	3.81582	23.6549	-	-	-	-	G
CHEMBL1088856_actives_final_000097.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-107.79	0.399645	-	-	-	-	R
CHEMBL1088856_actives_final_000097.pdbqt	B	[$(cO):1][c:2](cO)!@[O:3][C:4]	91.0844	10.8863	-	-	-	-	G
CHEMBL1088856_actives_final_000097.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-36.1676	0.118413	-	-	-	-	R
ZINC64502858_decoys_final_001462.pdbqt	B	[C:1][CX4:2]!@[NX3;"N_lp":3][C:4]	-91.833	2.71429	-	-	-	-	G
ZINC64502858_decoys_final_001462.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-174.511	9.08356	-	-	-	-	G
ZINC64502858_decoys_final_001462.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	176.212	1.68907	-	-	-	-	G
ZINC64502858_decoys_final_001462.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-116.318	0.275693	-	-	-	-	G
ZINC39662261_decoys_final_005547.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	122.183	3.12238	-	-	-	-	G
ZINC39662261_decoys_final_005547.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	32.355	9.46757	-	-	-	-	G
ZINC39662261_decoys_final_005547.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0965159	63.7893	-	-	-	-	G
ZINC39662261_decoys_final_005547.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	126.274	2.90187	-	-	-	-	G
ZINC39662261_decoys_final_005547.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	4.79827	23.6549	-	-	-	-	G
ZINC39662261_decoys_final_005547.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	63.3381	6.54545	-	-	-	-	G
ZINC63375952_decoys_final_000289.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-84.9746	0.635944	-	-	-	-	O
ZINC63375952_decoys_final_000289.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0717772	63.7893	-	-	-	-	G
ZINC63375952_decoys_final_000289.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	139.26	8.80686	-	-	-	-	G
ZINC63375952_decoys_final_000289.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	66.2803	0.974878	-	-	-	-	O
ZINC63375952_decoys_final_000289.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	169.529	7.77068	-	-	-	-	G
ZINC63375952_decoys_final_000289.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0475305	63.7893	-	-	-	-	G
ZINC63375952_decoys_final_000289.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	34.2808	9.46757	-	-	-	-	G
ZINC63383819_decoys_final_000496.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-84.0211	0.635944	-	-	-	-	O
ZINC63383819_decoys_final_000496.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	65.0524	0.974878	-	-	-	-	O
ZINC63383819_decoys_final_000496.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0134404	63.7893	-	-	-	-	G
ZINC63383819_decoys_final_000496.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	141.878	8.80686	-	-	-	-	G
ZINC63383819_decoys_final_000496.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0464495	63.7893	-	-	-	-	G
ZINC63383819_decoys_final_000496.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	10.741	9.86127	-	-	-	-	G
CHEMBL1080159_actives_final_000125.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-168.317	6.01001	-	-	-	-	G
CHEMBL1080159_actives_final_000125.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	119.637	4.89762	-	-	-	-	G
CHEMBL1080159_actives_final_000125.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-101.091	4.86468	-	-	-	-	G
CHEMBL1080159_actives_final_000125.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	117.885	1.02758	-	-	-	-	O
CHEMBL1080159_actives_final_000125.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-16.3508	2.34448	-	-	-	-	G
CHEMBL1080159_actives_final_000125.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	90.5	5.09091	-	-	-	-	G
CHEMBL1080159_actives_final_000125.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-5.11274	9.18367	-	-	-	-	G
ZINC02095839_decoys_final_000221.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-61.9565	0.530348	-	-	-	-	O
ZINC02095839_decoys_final_000221.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-174.325	9.08356	-	-	-	-	G
ZINC02095839_decoys_final_000221.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	93.5035	0.374597	-	-	-	-	O
ZINC02095839_decoys_final_000221.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-102.008	0.610655	-	-	-	-	O
ZINC02095839_decoys_final_000221.pdbqt	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-124.585	0.327297	-	-	-	-	R
ZINC02095839_decoys_final_000221.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	164.476	0	-	-	-	-	R
CHEMBL1081484_actives_final_000010.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-172.021	6.01001	-	-	-	-	G
CHEMBL1081484_actives_final_000010.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	131.732	9.62922	-	-	-	-	G
CHEMBL1081484_actives_final_000010.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	82.321	4	-	-	-	-	G
CHEMBL1081484_actives_final_000010.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	-3.74146	23.6549	-	-	-	-	G
CHEMBL1081484_actives_final_000010.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	-20.8414	2.34448	-	-	-	-	G
CHEMBL1081484_actives_final_000010.pdbqt	B	[$(cO):1][c:2](cO)!@[O:3][C:4]	84.8675	9.77842	-	-	-	-	G
CHEMBL1081484_actives_final_000010.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-71.879	0.0888099	-	-	-	-	R
CHEMBL1081484_actives_final_000010.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-93.9337	0.35524	-	-	-	-	R
ZINC59879681_decoys_final_003040.pdbqt	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	87.2456	0.0824111	-	-	-	-	R
ZINC59879681_decoys_final_003040.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3!r:3]=[NX2!r:4]	94.4523	0.632911	-	-	-	-	R
ZINC59879681_decoys_final_003040.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-130.726	1.64042	-	-	-	-	O
ZINC59879681_decoys_final_003040.pdbqt	B	[aH0:1][c:2]([aH0])!@[SX2:3][!#1:4]	63.3419	2.01135	-	-	-	-	G
ZINC59879681_decoys_final_003040.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	108.731	0.770028	-	-	-	-	O
ZINC59879681_decoys_final_003040.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-21.862	1.21606	-	-	-	-	O
ZINC59879681_decoys_final_003040.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	-81.4722	0.484901	-	-	-	-	O
ZINC12866512_decoys_final_003209.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-29.2204	1.1203	-	-	-	-	G
CHEMBL1093468_actives_final_000027.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-17.396	5.27128	-	-	-	-	G
CHEMBL1093468_actives_final_000027.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-21.1299	0.276702	-	-	-	-	R
CHEMBL1093468_actives_final_000027.pdbqt	B	[a:1][c:2]!@[CX4H2:3][CX3:4]	91.4167	7.83807	-	-	-	-	G
CHEMBL1093468_actives_final_000027.pdbqt	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	54.6867	0.569801	-	-	-	-	G
CHEMBL1093468_actives_final_000027.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-0.0787904	25.0866	-	-	-	-	G
CHEMBL1093468_actives_final_000027.pdbqt	B	[$(cO):1][c:2](cO)!@[O:3][C:4]	92.9231	10.8863	-	-	-	-	G
CHEMBL1093468_actives_final_000027.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	93.1852	0.310835	-	-	-	-	R
CHEMBL1093468_actives_final_000027.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-15.9821	2.45708	-	-	-	-	G
ZINC63492937_decoys_final_005455.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	163.619	2.73742	-	-	-	-	G
ZINC63492937_decoys_final_005455.pdbqt	B	[OX2:1][CX4H2:2]!@[CX3:3]([$([NX3H1,NX3H2])])=[O:4]	153.477	1.07143	-	-	-	-	O
ZINC63492937_decoys_final_005455.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.135682	63.7893	-	-	-	-	G
ZINC63492937_decoys_final_005455.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-53.4322	3.20585	-	-	-	-	G
ZINC63492937_decoys_final_005455.pdbqt	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	166.644	19.2087	-	-	-	-	G
ZINC10272246_decoys_final_001992.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	168.004	2.3853	-	-	-	-	G
ZINC10272246_decoys_final_001992.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-112.003	0.443054	-	-	-	-	R
ZINC39606930_decoys_final_001093.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-73.8708	0.262467	-	-	-	-	O
ZINC39606930_decoys_final_001093.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	6.71675	14.9156	-	-	-	-	G
ZINC39606930_decoys_final_001093.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	144.184	3.96947	-	-	-	-	G
ZINC39606930_decoys_final_001093.pdbqt	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	153.701	2.20243	-	-	-	-	G
ZINC39606930_decoys_final_001093.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	-112.938	0	-	-	-	-	R
ZINC39606930_decoys_final_001093.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-168.832	0.601954	-	-	-	-	G
ZINC20362917_decoys_final_005333.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	55.7279	0.600343	-	-	-	-	O
