MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL208422_actives_final_000160.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	174.539	9.79917	-	-	-	-	G
CHEMBL208422_actives_final_000160.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H1:3][H:4]	29.1612	2.94118	-	-	-	-	G
CHEMBL208422_actives_final_000160.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	178.343	18.2537	-	-	-	-	G
CHEMBL208422_actives_final_000160.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-49.7295	4.09224	-	-	-	-	G
CHEMBL208422_actives_final_000160.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	5.5129	9.4356	-	-	-	-	G
CHEMBL208422_actives_final_000160.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-20.091	3.14121	-	-	-	-	G
CHEMBL239414_actives_final_000045.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-9.96335	0.0576714	-	-	-	-	R
CHEMBL239414_actives_final_000045.pdbqt	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	77.3556	2.34731	-	-	-	-	G
CHEMBL239414_actives_final_000045.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	4.91179	25.0866	-	-	-	-	G
CHEMBL239414_actives_final_000045.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-130.078	0.0511812	-	-	-	-	R
CHEMBL239414_actives_final_000045.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	126.514	0.032325	-	-	-	-	R
CHEMBL239414_actives_final_000045.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	149.298	0.759429	-	-	-	-	O
CHEMBL239414_actives_final_000045.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-179.696	18.2537	-	-	-	-	G
CHEMBL239414_actives_final_000045.pdbqt	B	[*:1]~[CX3:2]!@[cX3:3]~[*:4]	-30.2459	2.32371	-	-	-	-	O
ZINC28466119_decoys_final_000011.pdbqt	B	[cH1:1][c:2]!@[c:3]([cH1])[nX2H0:4]	-3.07688	25.7136	-	-	-	-	G
ZINC28466119_decoys_final_000011.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	100.128	0.581074	-	-	-	-	O
ZINC13564727_decoys_final_004770.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-123.474	2.13068	-	-	-	-	G
ZINC13564727_decoys_final_004770.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-94.4387	7.87941	-	-	-	-	G
ZINC13564727_decoys_final_004770.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-123.012	2.14327	-	-	-	-	O
ZINC13564727_decoys_final_004770.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	12.1694	7.95363	-	-	-	-	G
ZINC13564727_decoys_final_004770.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	73.6165	2.34591	-	-	-	-	G
ZINC13564727_decoys_final_004770.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	37.4181	2.20791	-	-	-	-	G
ZINC13564727_decoys_final_004770.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	38.1882	6.02617	-	-	-	-	G
ZINC16737368_decoys_final_005186.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	-105.298	0.787951	-	-	-	-	O
ZINC16737368_decoys_final_005186.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	93.1952	1.52036	-	-	-	-	G
ZINC16737368_decoys_final_005186.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-95.777	1.06749	-	-	-	-	R
ZINC16737368_decoys_final_005186.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	173.945	8.6252	-	-	-	-	G
ZINC16737368_decoys_final_005186.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	26.2517	1.15477	-	-	-	-	G
ZINC27987143_decoys_final_003848.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	9.67256	0.198777	-	-	-	-	O
ZINC27987143_decoys_final_003848.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	142.205	0.336391	-	-	-	-	O
ZINC27987143_decoys_final_003848.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	124.263	1.19904	-	-	-	-	G
ZINC27987143_decoys_final_003848.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-136.118	0.914794	-	-	-	-	R
ZINC27987143_decoys_final_003848.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-125.876	4.23554	-	-	-	-	G
ZINC27987143_decoys_final_003848.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-83.7614	0.816206	-	-	-	-	O
ZINC27987143_decoys_final_003848.pdbqt	B	[CX4:1][CX4H2:2]!@[NX3;"N_lp":3][CX4:4]	-135.092	1.30653	-	-	-	-	G
ZINC27987143_decoys_final_003848.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1;"N_lp":3][!#1:4]	-157.823	5.6042	-	-	-	-	G
ZINC27987143_decoys_final_003848.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-125.76	0.856458	-	-	-	-	G
ZINC27987143_decoys_final_003848.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-109.441	0.72314	-	-	-	-	O
ZINC27987143_decoys_final_003848.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-130.581	0.104548	-	-	-	-	R
CHEMBL205437_actives_final_000153.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-174.593	9.08356	-	-	-	-	G
CHEMBL205437_actives_final_000153.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H1:3][H:4]	26.3317	2.94118	-	-	-	-	G
CHEMBL205437_actives_final_000153.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-174.376	9.08356	-	-	-	-	G
CHEMBL205437_actives_final_000153.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-50.488	4.09224	-	-	-	-	G
CHEMBL205437_actives_final_000153.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-19.7209	3.14121	-	-	-	-	G
CHEMBL425420_actives_final_000190.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00142956	63.7893	-	-	-	-	G
CHEMBL425420_actives_final_000190.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-135.171	0.987167	-	-	-	-	O
