MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL46884_actives_final_000020.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	90.1359	7.35439	-	-	-	-	G
CHEMBL46884_actives_final_000020.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0216723	63.7893	-	-	-	-	G
CHEMBL46884_actives_final_000020.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	128.859	0.0224719	-	-	-	-	R
CHEMBL46884_actives_final_000020.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-31.4047	3.02285	-	-	-	-	G
CHEMBL46884_actives_final_000020.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	56.5482	0.708861	-	-	-	-	O
CHEMBL46884_actives_final_000020.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-164.51	1.1257	-	-	-	-	O
ZINC63150049_decoys_final_000494.pdbqt	B	[aH0:1][c:2]([aH1])!@[SX4:3][!#1:4]	81.9701	8.85073	-	-	-	-	G
ZINC63150049_decoys_final_000494.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	91.6374	0.0402739	-	-	-	-	R
ZINC63150049_decoys_final_000494.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H1])=[O:4]	-177.647	16.7102	-	-	-	-	G
ZINC63150049_decoys_final_000494.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.21222	14.9156	-	-	-	-	G
ZINC63150049_decoys_final_000494.pdbqt	B	[c:1][$(S(=O)=O):2]!@[NX3H1:3][c:4]	108.857	0	-	-	-	-	R
ZINC63150049_decoys_final_000494.pdbqt	B	[$(S(=O)(=O)):1][NH1:2]!@[c:3]([cH1])[cH1:4]	111.336	4.23729	-	-	-	-	O
CHEMBL46821_actives_final_000108.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	128.589	0.0224719	-	-	-	-	R
CHEMBL46821_actives_final_000108.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-31.8464	3.02285	-	-	-	-	G
CHEMBL46821_actives_final_000108.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	57.2367	0.708861	-	-	-	-	O
CHEMBL46821_actives_final_000108.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	87.2179	7.35439	-	-	-	-	G
CHEMBL46821_actives_final_000108.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0334389	63.7893	-	-	-	-	G
CHEMBL46821_actives_final_000108.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-164.95	1.1257	-	-	-	-	O
CHEMBL289560_actives_final_000096.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	129.87	0.0224719	-	-	-	-	R
CHEMBL289560_actives_final_000096.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-32.664	3.02285	-	-	-	-	G
CHEMBL289560_actives_final_000096.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	57.435	0.708861	-	-	-	-	O
CHEMBL289560_actives_final_000096.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	90.9216	7.35439	-	-	-	-	G
CHEMBL289560_actives_final_000096.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0295447	63.7893	-	-	-	-	G
CHEMBL289560_actives_final_000096.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-162.576	1.1257	-	-	-	-	O
ZINC14811446_decoys_final_001177.pdbqt	B	[$(C=O):1][O:2]!@[CH1:3][H:4]	-22.6134	9.9982	-	-	-	-	G
ZINC14811446_decoys_final_001177.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-36.8984	1.33569	-	-	-	-	G
ZINC14811446_decoys_final_001177.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-5.56428	15.5319	-	-	-	-	G
ZINC14811446_decoys_final_001177.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	107.115	3.07	-	-	-	-	G
ZINC14811446_decoys_final_001177.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	1.60119	1.53503	-	-	-	-	G
ZINC14811446_decoys_final_001177.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-22.4238	2.24233	-	-	-	-	G
ZINC14811446_decoys_final_001177.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	-151.662	0	-	-	-	-	R
ZINC14811446_decoys_final_001177.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	134.087	1.53555	-	-	-	-	O
CHEMBL47041_actives_final_000070.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	123.622	0.0224719	-	-	-	-	R
CHEMBL47041_actives_final_000070.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-25.4174	3.02285	-	-	-	-	G
CHEMBL47041_actives_final_000070.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	58.297	0.708861	-	-	-	-	O
CHEMBL47041_actives_final_000070.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	91.324	7.35439	-	-	-	-	G
CHEMBL47041_actives_final_000070.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0467328	63.7893	-	-	-	-	G
CHEMBL47041_actives_final_000070.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-52.1713	1.31332	-	-	-	-	O
CHEMBL42389_actives_final_000131.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	127.063	0.0224719	-	-	-	-	R
CHEMBL42389_actives_final_000131.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-31.4861	3.02285	-	-	-	-	G
CHEMBL42389_actives_final_000131.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	56.8732	0.708861	-	-	-	-	O
CHEMBL42389_actives_final_000131.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	88.923	7.35439	-	-	-	-	G
CHEMBL42389_actives_final_000131.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0298156	63.7893	-	-	-	-	G
CHEMBL42389_actives_final_000131.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-165.23	0.906817	-	-	-	-	O
CHEMBL42389_actives_final_000131.pdbqt	B	[cH1:1][c:2](cO)!@[O:3][C:4]	-71.6537	0.0888099	-	-	-	-	R
CHEMBL418258_actives_final_000130.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-30.9333	3.02285	-	-	-	-	G
CHEMBL418258_actives_final_000130.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	127.381	0.0224719	-	-	-	-	R
CHEMBL418258_actives_final_000130.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	89.1809	7.35439	-	-	-	-	G
