MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL480893_actives_final_000069.pdbqt	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	-21.4117	3.69318	-	-	-	-	G
CHEMBL480893_actives_final_000069.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-48.6021	2.55308	-	-	-	-	G
CHEMBL480893_actives_final_000069.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-20.6345	1.21606	-	-	-	-	O
CHEMBL480893_actives_final_000069.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-127.799	0.163099	-	-	-	-	O
CHEMBL480893_actives_final_000069.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-145.136	3.39656	-	-	-	-	O
CHEMBL480893_actives_final_000069.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	77.4806	3.72585	-	-	-	-	G
CHEMBL480893_actives_final_000069.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	38.2676	2.20791	-	-	-	-	G
CHEMBL480893_actives_final_000069.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-141.569	1.82138	-	-	-	-	G
CHEMBL479759_actives_final_000212.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	112.475	3.86228	-	-	-	-	O
CHEMBL479759_actives_final_000212.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	69.5544	6.01937	-	-	-	-	G
CHEMBL479759_actives_final_000212.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	-111.925	0.203874	-	-	-	-	O
CHEMBL479759_actives_final_000212.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-62.4701	2.68665	-	-	-	-	G
CHEMBL479759_actives_final_000212.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	27.5962	3.1746	-	-	-	-	G
CHEMBL479759_actives_final_000212.pdbqt	B	[a:1][c:2]!@[NX3H1:3][$([CX4r]([C;r])([C;r])):4]	147.468	1.13636	-	-	-	-	O
