MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC12885846_decoys_final_004572.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	111.623	0.0798855	-	-	-	-	R
ZINC12885846_decoys_final_004572.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-162.668	0.405063	-	-	-	-	R
ZINC12885846_decoys_final_004572.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	72.9671	3.25901	-	-	-	-	G
ZINC12885846_decoys_final_004572.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-98.3443	0.0754249	-	-	-	-	R
ZINC12885846_decoys_final_004572.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-52.8698	0.856507	-	-	-	-	O
ZINC20292270_decoys_final_005588.pdbqt	B	[cH0:1][c:2]([cH,nX2H0])!@[NX3H1:3][CX4:4]	-128.22	0.572246	-	-	-	-	R
ZINC20292270_decoys_final_005588.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3H1:3][!#1:4]	-110.554	3.0894	-	-	-	-	O
ZINC20292270_decoys_final_005588.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	144.134	0.053875	-	-	-	-	R
ZINC20292270_decoys_final_005588.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-102.993	0.0754249	-	-	-	-	R
ZINC20292270_decoys_final_005588.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	112.716	0.158002	-	-	-	-	O
ZINC19219727_decoys_final_001780.pdbqt	B	[*:1]~[CX4:2]!@[NX4:3]~[*:4]	5.72459	0.198777	-	-	-	-	O
ZINC19219727_decoys_final_001780.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	-102.123	0.224719	-	-	-	-	R
ZINC19219727_decoys_final_001780.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-74.5556	3.26365	-	-	-	-	G
CHEMBL598324_actives_final_000124.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-29.2691	1.0238	-	-	-	-	O
CHEMBL598324_actives_final_000124.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-14.5947	8.78202	-	-	-	-	G
CHEMBL598324_actives_final_000124.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	55.8471	0	-	-	-	-	R
ZINC02240323_decoys_final_001776.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.80903	14.9156	-	-	-	-	G
ZINC02240323_decoys_final_001776.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-0.353097	25.0866	-	-	-	-	G
ZINC02240323_decoys_final_001776.pdbqt	B	[*:1]~[CX3:2]!@[NX3:3]~[*:4]	-176.404	27.0317	-	-	-	-	G
ZINC07007808_decoys_final_002583.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	48.6928	0.139147	-	-	-	-	R
ZINC07007808_decoys_final_002583.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	68.9282	6.06372	-	-	-	-	G
ZINC07007808_decoys_final_002583.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-112.036	0.0805477	-	-	-	-	R
ZINC07007808_decoys_final_002583.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	4.74321	63.7893	-	-	-	-	G
ZINC64604261_decoys_final_005632.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	5.97608	1.56957	-	-	-	-	O
ZINC64604261_decoys_final_005632.pdbqt	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	-21.5699	1.19671	-	-	-	-	O
ZINC64604261_decoys_final_005632.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-139.911	0.0727312	-	-	-	-	R
ZINC64604261_decoys_final_005632.pdbqt	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	-88.0738	1.868	-	-	-	-	O
ZINC64604261_decoys_final_005632.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-4.68708	63.7893	-	-	-	-	G
ZINC64604261_decoys_final_005632.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	20.5115	9.61755	-	-	-	-	G
ZINC64604261_decoys_final_005632.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	81.9302	6.41197	-	-	-	-	G
ZINC64604261_decoys_final_005632.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	164.398	2.91722	-	-	-	-	G
CHEMBL597640_actives_final_000006.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-50.1655	9.40786	-	-	-	-	G
CHEMBL597640_actives_final_000006.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-131.819	0.104548	-	-	-	-	R
CHEMBL597640_actives_final_000006.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	10.2051	1.88679	-	-	-	-	O
ZINC16020589_decoys_final_004350.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	144.333	0.200782	-	-	-	-	O
ZINC16020589_decoys_final_004350.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-95.5474	7.49367	-	-	-	-	G
ZINC16020589_decoys_final_004350.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-90.5885	2.4302	-	-	-	-	G
CHEMBL604510_actives_final_000004.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-32.211	1.0238	-	-	-	-	G
CHEMBL604510_actives_final_000004.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	158.848	5.93309	-	-	-	-	G
CHEMBL604510_actives_final_000004.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-121.252	0	-	-	-	-	R
ZINC08789855_decoys_final_004058.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	112.642	0.0798855	-	-	-	-	R
ZINC08789855_decoys_final_004058.pdbqt	B	[$([C](=O)):1][NX3H0:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	-112.056	7.62053	-	-	-	-	G
ZINC08789855_decoys_final_004058.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-155.616	1.37161	-	-	-	-	O
ZINC08789855_decoys_final_004058.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	67.614	4.90545	-	-	-	-	G
ZINC08790117_decoys_final_004469.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	113.883	0.0798855	-	-	-	-	R
ZINC08790117_decoys_final_004469.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-131.691	0.989989	-	-	-	-	O
ZINC08790117_decoys_final_004469.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	62.194	0.600343	-	-	-	-	O
ZINC08790117_decoys_final_004469.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-102.72	0.0754249	-	-	-	-	R
ZINC08790117_decoys_final_004469.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-42.4458	0.656285	-	-	-	-	O
ZINC09421725_decoys_final_005619.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-87.7769	0.464773	-	-	-	-	R
ZINC09421725_decoys_final_005619.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	-116.161	0.315856	-	-	-	-	R
ZINC09421725_decoys_final_005619.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-150.018	3.9285	-	-	-	-	G
ZINC09421725_decoys_final_005619.pdbqt	B	[*:1]~[CX3:2]!@[NX2:3]~[*:4]	-174.785	3.37285	-	-	-	-	G
ZINC15959323_decoys_final_004407.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	93.0573	0.504518	-	-	-	-	O
ZINC15959323_decoys_final_004407.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-69.3393	3.16456	-	-	-	-	G
ZINC15959323_decoys_final_004407.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-96.8	2.93002	-	-	-	-	G
ZINC08621448_decoys_final_003655.pdbqt	B	[a:1][c:2]!@[CX4H0:3][a:4]	142.48	2.23792	-	-	-	-	G
ZINC08621448_decoys_final_003655.pdbqt	B	[$(C=O):1][NX3H0:2]!@[CX4H2:3][!#1:4]	-129.408	1.25232	-	-	-	-	O
ZINC08621448_decoys_final_003655.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	64.7404	2.8777	-	-	-	-	G
ZINC08621448_decoys_final_003655.pdbqt	B	[a:1][c:2]!@[CX4H0:3][a:4]	139.144	2.23792	-	-	-	-	O
ZINC20572314_decoys_final_004403.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	111.501	0.0798855	-	-	-	-	R
ZINC20572314_decoys_final_004403.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-116.836	0.962025	-	-	-	-	G
ZINC20572314_decoys_final_004403.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	37.3713	2.37849	-	-	-	-	G
CHEMBL597839_actives_final_000005.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-43.6057	4.28888	-	-	-	-	G
CHEMBL597839_actives_final_000005.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-132.121	0.104548	-	-	-	-	R
CHEMBL597839_actives_final_000005.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-18.9907	2.81497	-	-	-	-	O
CHEMBL603694_actives_final_000072.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-41.0574	4.28888	-	-	-	-	G
CHEMBL603694_actives_final_000072.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	-10.3459	8.78202	-	-	-	-	G
CHEMBL603694_actives_final_000072.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	36.1991	5.73646	-	-	-	-	G
ZINC20517687_decoys_final_004145.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	0.21451	0.0585257	-	-	-	-	R
ZINC20517687_decoys_final_004145.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	164.22	0.929343	-	-	-	-	G
ZINC20517687_decoys_final_004145.pdbqt	B	[N:1][C:2](=O)!@[CX4H2:3][CX4H2:4]	-146.044	5.31335	-	-	-	-	O
ZINC20517687_decoys_final_004145.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	135.638	2.15443	-	-	-	-	G
ZINC08790428_decoys_final_001773.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	104.46	0.196083	-	-	-	-	R
ZINC08790428_decoys_final_001773.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-115.698	4.75698	-	-	-	-	G
ZINC08790428_decoys_final_001773.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	51.0156	0.0506329	-	-	-	-	O
CHEMBL599682_actives_final_000077.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-40.8942	4.28888	-	-	-	-	G
CHEMBL599682_actives_final_000077.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH1])	170.876	8.6252	-	-	-	-	G
CHEMBL599682_actives_final_000077.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	40.5415	5.73646	-	-	-	-	O
CHEMBL599682_actives_final_000077.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-64.1886	0.360525	-	-	-	-	R
ZINC63573484_decoys_final_001311.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-97.885	1.59782	-	-	-	-	G
ZINC63573484_decoys_final_001311.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	171.044	8.60916	-	-	-	-	G
ZINC63573484_decoys_final_001311.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	8.82191	9.4356	-	-	-	-	G
ZINC63573484_decoys_final_001311.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	6.45995	14.9156	-	-	-	-	G
ZINC63573484_decoys_final_001311.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	28.3377	5.05437	-	-	-	-	G
ZINC63479773_decoys_final_004767.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-105.073	0.0892838	-	-	-	-	R
ZINC63479773_decoys_final_004767.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	-52.6384	0.0428816	-	-	-	-	O
ZINC63479773_decoys_final_004767.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	8.35274	0.0253165	-	-	-	-	R
ZINC63479773_decoys_final_004767.pdbqt	B	[OX2:1][CX4:2]!@[CX4:3][N:4]	153.717	0.224719	-	-	-	-	O
ZINC58865137_decoys_final_002211.pdbqt	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	136.563	1.14578	-	-	-	-	O
ZINC58865137_decoys_final_002211.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0320555	63.7893	-	-	-	-	G
ZINC58865137_decoys_final_002211.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	138.8	0.901396	-	-	-	-	O
ZINC58865137_decoys_final_002211.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	91.0088	0.399663	-	-	-	-	O
ZINC58865137_decoys_final_002211.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	74.1112	0.94697	-	-	-	-	O
ZINC58865137_decoys_final_002211.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	179.981	9.5176	-	-	-	-	R
ZINC58865137_decoys_final_002211.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	4.74964	41.1343	-	-	-	-	G
ZINC58865137_decoys_final_002211.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	120.682	2.43553	-	-	-	-	O
