MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL197846_actives_final_000086.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL103_actives_final_000027.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-19.9724	4.16067	-	-	-	-	G
CHEMBL372106_actives_final_000048.pdbqt	-	-	-	-	-	-	-	-	-
CHEMBL273453_actives_final_000102.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	133.09	2.90187	-	-	-	-	G
CHEMBL273453_actives_final_000102.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	96.41	4.01681	-	-	-	-	G
CHEMBL273453_actives_final_000102.pdbqt	B	[OH1:1][CX4:2]!@[CX3:3]=[O:4]	-30.2879	1.49031	-	-	-	-	O
CHEMBL384467_actives_final_000024.pdbqt	B	[OH1:1][CX4:2]!@[CX3:3]=[O:4]	150.095	1.19225	-	-	-	-	G
CHEMBL384467_actives_final_000024.pdbqt	B	[OH1:1][CX4:2]!@[CX3:3]=[O:4]	-95.8665	0.745156	-	-	-	-	R
ZINC59310215_decoys_final_001430.pdbqt	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	2.05708	25.1472	-	-	-	-	G
ZINC59310215_decoys_final_001430.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	86.5129	2.80893	-	-	-	-	G
ZINC59310215_decoys_final_001430.pdbqt	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	-171.15	7.75602	-	-	-	-	G
ZINC59310215_decoys_final_001430.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	74.3714	8.17414	-	-	-	-	G
ZINC59310215_decoys_final_001430.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-160.93	1.32138	-	-	-	-	G
ZINC59310215_decoys_final_001430.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	5.04164	14.9156	-	-	-	-	G
