MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC39561878_decoys_final_004149.pdbqt	B	[CX3:1]=[CX3:2]!@[CH2:3][OX2:4]	-65.3555	0.610687	-	-	-	-	R
ZINC39561878_decoys_final_004149.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-73.7359	0.262467	-	-	-	-	O
ZINC39561878_decoys_final_004149.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	6.58587	14.9156	-	-	-	-	G
ZINC39561878_decoys_final_004149.pdbqt	B	[*:1]~[CX3:2]!@[OX2:3]~[*:4]	-148.486	0.0848941	-	-	-	-	O
ZINC39561878_decoys_final_004149.pdbqt	B	[*:1][CX4:2]!@[O:3][$([CX3](=[!O])):4]	-123.587	0.676923	-	-	-	-	R
ZINC08584584_decoys_final_002126.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-89.3237	15.4696	-	-	-	-	G
ZINC08584584_decoys_final_002126.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	88.7458	0.477016	-	-	-	-	O
ZINC08584584_decoys_final_002126.pdbqt	B	[aH0:1][c:2]([aH1])!@[SX4:3][!#1:4]	-158.24	0.396301	-	-	-	-	R
ZINC08584584_decoys_final_002126.pdbqt	B	[*:1][$(S(=O)=O):2]!@[NX3H0r:3][*:4]	-145.025	0.521327	-	-	-	-	R
ZINC08584584_decoys_final_002126.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	-88.5346	5.18797	-	-	-	-	G
ZINC21595950_decoys_final_004292.pdbqt	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	-59.1992	0.701169	-	-	-	-	R
ZINC21595950_decoys_final_004292.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-108.393	1.44086	-	-	-	-	O
ZINC21595950_decoys_final_004292.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-65.188	1.93691	-	-	-	-	G
ZINC21595950_decoys_final_004292.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX3:3]=[*H0:4]	0.204556	14.8148	-	-	-	-	G
ZINC21595950_decoys_final_004292.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.265807	63.7893	-	-	-	-	G
ZINC21595950_decoys_final_004292.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-125.523	0.800096	-	-	-	-	G
ZINC21595950_decoys_final_004292.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	130.988	1.53555	-	-	-	-	O
ZINC21595950_decoys_final_004292.pdbqt	B	[c:1][c:2]!@[c:3][s,o,nX3H1:4]	-123.589	0.81648	-	-	-	-	O
ZINC03416573_decoys_final_004070.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	54.8465	0.672585	-	-	-	-	R
ZINC03416573_decoys_final_004070.pdbqt	B	[$(C=O):1][O:2]!@[CH2:3]~[C:4]	110.352	1.30231	-	-	-	-	O
ZINC03416573_decoys_final_004070.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	66.1017	0.00468626	-	-	-	-	R
ZINC03416573_decoys_final_004070.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-34.2861	2.69102	-	-	-	-	G
ZINC03416573_decoys_final_004070.pdbqt	B	[O:1]=[C:2]!@[NX3H0:3]([a:4])[A]	-0.244574	15.7822	-	-	-	-	G
ZINC59879732_decoys_final_001831.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-47.7224	2.55308	-	-	-	-	G
ZINC59879732_decoys_final_001831.pdbqt	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	-77.0265	0.270779	-	-	-	-	R
ZINC59879732_decoys_final_001831.pdbqt	B	[cH1:1][c:2]([cH0])!@[CX3x0:3]=[NX2:4]	69.5687	0.212691	-	-	-	-	R
ZINC59879732_decoys_final_001831.pdbqt	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	-124.144	0.0753012	-	-	-	-	R
ZINC59879732_decoys_final_001831.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	50.0128	2.48778	-	-	-	-	G
ZINC59879732_decoys_final_001831.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	-36.2507	2.42106	-	-	-	-	G
ZINC59879732_decoys_final_001831.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0321457	63.7893	-	-	-	-	G
ZINC59879732_decoys_final_001831.pdbqt	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	-139.954	1.15958	-	-	-	-	O
ZINC59879732_decoys_final_001831.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00527191	63.7893	-	-	-	-	G
ZINC59879732_decoys_final_001831.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	175.444	0.827213	-	-	-	-	G
ZINC38660888_decoys_final_004354.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	57.7332	3.33975	-	-	-	-	G
ZINC38660888_decoys_final_004354.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-68.741	2.34591	-	-	-	-	G
ZINC38660888_decoys_final_004354.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-118.586	2.5299	-	-	-	-	G
ZINC38660888_decoys_final_004354.pdbqt	B	[O:1]=[C:2]!@[O:3]~[!#1:4]	57.1483	0.00444356	-	-	-	-	R
ZINC38660888_decoys_final_004354.pdbqt	B	[$(C=O):1][O:2]!@[c:3]~[*:4]	48.8301	1.43072	-	-	-	-	O
ZINC38660888_decoys_final_004354.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	11.8006	10.3712	-	-	-	-	G
ZINC38660888_decoys_final_004354.pdbqt	B	[H:1][CX4H1:2]!@[OX2:3][!#1:4]	7.77738	7.81454	-	-	-	-	G
ZINC38660888_decoys_final_004354.pdbqt	B	[cH1,n:1][c:2]!@[O:3][CH1:4]	-75.7137	0	-	-	-	-	R
ZINC21726321_decoys_final_003687.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][a:4]	-162.815	3.70899	-	-	-	-	G
ZINC21726321_decoys_final_003687.pdbqt	B	[cH0:1][c:2]([cH1])!@[O:3][C:4]	-143.496	0.225471	-	-	-	-	R
ZINC21726321_decoys_final_003687.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	-123.5	0.172563	-	-	-	-	R
ZINC21726321_decoys_final_003687.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	70.2949	3.92494	-	-	-	-	G
ZINC21726321_decoys_final_003687.pdbqt	B	[a:1][ar6:2]!@[ar5:3][a:4]	11.2899	4.30266	-	-	-	-	O
ZINC09246857_decoys_final_003472.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-101.043	8.94603	-	-	-	-	G
