MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC59170663_decoys_final_005762.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-52.9564	0.734852	-	-	-	-	O
ZINC59170663_decoys_final_005762.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	167.982	3.2172	-	-	-	-	G
ZINC59170663_decoys_final_005762.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	2.17603	63.7893	-	-	-	-	G
ZINC59170663_decoys_final_005762.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	-169.058	0.56243	-	-	-	-	R
ZINC59170663_decoys_final_005762.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	44.7709	2.94489	-	-	-	-	G
ZINC59170663_decoys_final_005762.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][CX4:4]	-85.0205	0.86438	-	-	-	-	O
ZINC59170663_decoys_final_005762.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX4:3][!#1:4]	104.288	8.53779	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-117.694	0.0709144	-	-	-	-	R
ZINC52594692_decoys_final_005758.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	-39.8469	3.9516	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.092298	63.7893	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	-168.638	4.3038	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	108.811	3.87241	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	94.9319	18.5823	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	12.119	9.86127	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-4.47953	63.7893	-	-	-	-	G
ZINC52594692_decoys_final_005758.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-174.915	9.08356	-	-	-	-	G
ZINC39226373_decoys_final_005746.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	157.634	6.43445	-	-	-	-	G
ZINC39226373_decoys_final_005746.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-71.0265	0.0304321	-	-	-	-	R
ZINC39226373_decoys_final_005746.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.043035	63.7893	-	-	-	-	G
ZINC39226373_decoys_final_005746.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H0:3][C:4]	-83.653	1.4359	-	-	-	-	O
ZINC63746584_decoys_final_005765.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-170.143	7.20426	-	-	-	-	G
ZINC63746584_decoys_final_005765.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	96.6992	4.05197	-	-	-	-	G
ZINC63746584_decoys_final_005765.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	29.5308	2.12896	-	-	-	-	G
ZINC63746584_decoys_final_005765.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	4.51736	41.1343	-	-	-	-	G
ZINC63746584_decoys_final_005765.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	6.04573	17.9922	-	-	-	-	G
ZINC63746584_decoys_final_005765.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	114.896	0.0604108	-	-	-	-	R
ZINC63746584_decoys_final_005765.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	4.99338	25.0866	-	-	-	-	G
ZINC36559329_decoys_final_002083.pdbqt	B	[a:1][c:2]!@[CX4H1:3][N,O:4]	-140.625	3.95967	-	-	-	-	G
ZINC36559329_decoys_final_002083.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	92.5446	0.0402739	-	-	-	-	R
ZINC36559329_decoys_final_002083.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	88.4342	14.7896	-	-	-	-	G
ZINC36559329_decoys_final_002083.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	4.96187	63.7893	-	-	-	-	G
ZINC36559329_decoys_final_002083.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H1])=[O:4]	102.553	1.39252	-	-	-	-	O
ZINC20753566_decoys_final_002075.pdbqt	B	[$([c]([NH1,NH2])):1][c:2]!@[CX3:3]([!O])=[O:4]	-84.761	0	-	-	-	-	R
