MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC34781865_decoys_final_000215.pdbqt	B	[!#1:1][CX4r:2]!@[CX4r:3][!#1:4]	113.423	0.304236	-	-	-	-	R
ZINC09442038_decoys_final_004367.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	-140.468	1.61199	-	-	-	-	O
ZINC09442038_decoys_final_004367.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][C:4]	114.131	0.925926	-	-	-	-	O
ZINC09442038_decoys_final_004367.pdbqt	B	[O:1]=[C:2]!@[O:3]~[C:4]	-67.3273	0.00468626	-	-	-	-	R
ZINC09442038_decoys_final_004367.pdbqt	B	[C:1][CX4H2:2]!@[CX3:3]=[O:4]	-129.274	0.877338	-	-	-	-	R
ZINC09442038_decoys_final_004367.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-178.218	22.1548	-	-	-	-	G
ZINC09442038_decoys_final_004367.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-94.9435	1.65296	-	-	-	-	O
ZINC09442038_decoys_final_004367.pdbqt	B	[cH0:1][c:2]([cH1])!@[NX3H1:3][C,c:4]	-123.3	1.72293	-	-	-	-	G
ZINC38999115_decoys_final_002528.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	13.2037	0.133274	-	-	-	-	R
ZINC38999115_decoys_final_002528.pdbqt	B	[!#1:1][CX4r:2]!@[CX4r:3][!#1:4]	127.305	0.468055	-	-	-	-	R
ZINC38999115_decoys_final_002528.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	160.326	2.91722	-	-	-	-	G
ZINC38999115_decoys_final_002528.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	-101.149	1.00047	-	-	-	-	G
ZINC38999115_decoys_final_002528.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	3.36007	63.7893	-	-	-	-	G
ZINC38999115_decoys_final_002528.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-95.2387	3.684	-	-	-	-	G
ZINC38999115_decoys_final_002528.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	-143.082	0.202532	-	-	-	-	R
ZINC38999115_decoys_final_002528.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	-36.9378	1.95625	-	-	-	-	O
ZINC13235797_decoys_final_002063.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	-0.102898	41.1343	-	-	-	-	G
ZINC13235797_decoys_final_002063.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	0.184237	41.1343	-	-	-	-	G
