MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL298954_actives_final_000091.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	125.1	0.481013	-	-	-	-	O
CHEMBL298954_actives_final_000091.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	152.836	0.50879	-	-	-	-	G
ZINC47029338_decoys_final_005978.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-140.385	0.214452	-	-	-	-	O
ZINC47029338_decoys_final_005978.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	107.587	3.80059	-	-	-	-	O
ZINC47029338_decoys_final_005978.pdbqt	B	[a:1][c:2]!@[CX4H0:3][CX4:4]	54.2986	2.8634	-	-	-	-	G
ZINC47029338_decoys_final_005978.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	0.125	41.1343	-	-	-	-	G
ZINC47029338_decoys_final_005978.pdbqt	B	[O:1]=[CX3:2]([$([NX3H1]C)])!@[NX3H1:3][!#1:4]	179.925	9.5176	-	-	-	-	R
ZINC47029338_decoys_final_005978.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-179.966	2.24265	-	-	-	-	G
ZINC47029338_decoys_final_005978.pdbqt	B	[*:1]~[NX3:2]!@[NX3:3]~[*:4]	93.4468	3.54776	-	-	-	-	G
CHEMBL159471_actives_final_000064.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	77.7563	7.29002	-	-	-	-	G
CHEMBL159471_actives_final_000064.pdbqt	B	[a:1][c:2]!@[CX4H2:3][a:4]	108.866	4.3609	-	-	-	-	G
CHEMBL159471_actives_final_000064.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	85.3251	3.67985	-	-	-	-	G
CHEMBL159471_actives_final_000064.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-110.03	2.98988	-	-	-	-	G
ZINC44963277_decoys_final_004264.pdbqt	-	-	-	-	-	-	-	-	-
ZINC24464702_decoys_final_000746.pdbqt	B	[cH0:1][c:2]([cH1])!@[CX3:3]([NX3H0])=[O:4]	-24.4207	0.727273	-	-	-	-	R
ZINC24464702_decoys_final_000746.pdbqt	B	[O:1]=[CX3:2](a)!@[NX3H0:3][!#1:4]	6.10708	9.49289	-	-	-	-	G
ZINC14726789_decoys_final_004241.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	83.7337	3.9461	-	-	-	-	G
CHEMBL1161035_actives_final_000198.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	-105.656	7.57923	-	-	-	-	G
CHEMBL1161035_actives_final_000198.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][a:4]	-157.563	1.18859	-	-	-	-	O
CHEMBL1161035_actives_final_000198.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	97.9349	8.62728	-	-	-	-	G
CHEMBL1161035_actives_final_000198.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	-89.8944	0.488284	-	-	-	-	G
CHEMBL1161035_actives_final_000198.pdbqt	B	[*:1]~[CX4:2]!@[P:3]~[*:4]	98.4148	0.542393	-	-	-	-	O
ZINC44963273_decoys_final_004419.pdbqt	-	-	-	-	-	-	-	-	-
ZINC31819894_decoys_final_006609.pdbqt	B	[a:1][ar6:2]!@[ar5:3][a:4]	62.0055	2.37432	-	-	-	-	O
ZINC31819894_decoys_final_006609.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	-108.149	3.58999	-	-	-	-	G
ZINC31819894_decoys_final_006609.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-23.7295	4.18684	-	-	-	-	G
