MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC21075455_decoys_final_002441.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	22.8981	0.149701	-	-	-	-	O
ZINC21075455_decoys_final_002441.pdbqt	B	[!#1:1][CX4:2]!@[SX2:3][!#1:4]	-150.009	1.30312	-	-	-	-	G
ZINC21075455_decoys_final_002441.pdbqt	B	[!#1:1][CX3:2]!@[SX2:3][!#1:4]	119.623	0.338855	-	-	-	-	R
ZINC21075455_decoys_final_002441.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	68.328	1.01935	-	-	-	-	G
ZINC21075455_decoys_final_002441.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-90.8537	0.0604108	-	-	-	-	R
ZINC21075455_decoys_final_002441.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	4.55247	63.7893	-	-	-	-	G
ZINC21075455_decoys_final_002441.pdbqt	B	[*:1]~[NX3:2]!@[NX2:3]~[*:4]	160.077	1.57758	-	-	-	-	G
ZINC21075455_decoys_final_002441.pdbqt	B	[cH1:1][c:2]([$([cH0][OH1])])!@[CX3:3]=[NX2:4]	-74.0751	0	-	-	-	-	R
ZINC21075455_decoys_final_002441.pdbqt	B	[O-:1][N+:2](=O)!@[c:3]([cH,nX2H0])[cH,nX2H0:4]	-41.6593	0.0149633	-	-	-	-	R
Molecule 2 could not be initialized.
Molecule 3 could not be initialized.
CHEMBL424683_actives_final_000093.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	172.755	7.77068	-	-	-	-	G
CHEMBL424683_actives_final_000093.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	66.2956	2.37649	-	-	-	-	G
CHEMBL424683_actives_final_000093.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	-51.8065	1.81345	-	-	-	-	G
CHEMBL424683_actives_final_000093.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	121.19	0.0686342	-	-	-	-	O
CHEMBL424683_actives_final_000093.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0242011	63.7893	-	-	-	-	G
CHEMBL424683_actives_final_000093.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	93.7365	0.504518	-	-	-	-	O
CHEMBL424683_actives_final_000093.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	168.349	0.843645	-	-	-	-	R
