MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC41077937_decoys_final_004401.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	83.078	1.75235	-	-	-	-	G
ZINC41077937_decoys_final_004401.pdbqt	B	[$(C=O):1][NX3H0:2]!@[c:3]([cH1])[cH1:4]	-89.5775	2.4302	-	-	-	-	G
ZINC41077937_decoys_final_004401.pdbqt	B	[n,o,s:1][c:2]!@[CX4H2:3][CX4:4]	-64.9486	4.11369	-	-	-	-	G
ZINC41077937_decoys_final_004401.pdbqt	B	[aH1:1][c:2]([aH0])!@[SX2:3][*R:4]	54.7867	2.29592	-	-	-	-	R
ZINC41077937_decoys_final_004401.pdbqt	B	[aH1:1][c:2]([aH0])!@[SX2:3][*R:4]	90.0218	2.04082	-	-	-	-	G
CHEMBL49697_actives_final_000110.pdbqt	B	[*:1]~[CX3:2]!@[n:3]~[*:4]	117.053	0.894855	-	-	-	-	O
CHEMBL49697_actives_final_000110.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH0:4])[cH1]	-94.3197	5.24412	-	-	-	-	O
CHEMBL49697_actives_final_000110.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	78.9463	0.971791	-	-	-	-	G
ZINC14269280_decoys_final_005445.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-118.802	1.58818	-	-	-	-	O
ZINC14269280_decoys_final_005445.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX3:3]=[*H0:4]	0.0409837	14.8148	-	-	-	-	G
ZINC14269280_decoys_final_005445.pdbqt	B	[!#1:1][CX3:2](=S)!@[NX3H1:3][!#1:4]	138.701	0.233723	-	-	-	-	R
ZINC14269280_decoys_final_005445.pdbqt	B	[a:1][c:2]!@[C:3]([NH1,NH2])=[O:4]	-51.6523	0.971314	-	-	-	-	G
ZINC14269280_decoys_final_005445.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0285477	63.7893	-	-	-	-	G
ZINC14269280_decoys_final_005445.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-70.6301	1.93691	-	-	-	-	O
CHEMBL39396_actives_final_000131.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	123.181	2.16942	-	-	-	-	G
CHEMBL39396_actives_final_000131.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	154.85	3.71955	-	-	-	-	G
CHEMBL39396_actives_final_000131.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	86.5415	3.9429	-	-	-	-	G
CHEMBL51927_actives_final_000001.pdbqt	B	[cH0:1][c:2]([nX2])!@[O:3][C:4]	120.998	0.573066	-	-	-	-	R
CHEMBL51927_actives_final_000001.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	156.081	4.22778	-	-	-	-	O
CHEMBL51927_actives_final_000001.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	30.7893	1.34333	-	-	-	-	O
CHEMBL51927_actives_final_000001.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	120.749	0.182593	-	-	-	-	R
CHEMBL51927_actives_final_000001.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	87.2539	3.9429	-	-	-	-	G
CHEMBL49331_actives_final_000026.pdbqt	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-62.0435	3.37079	-	-	-	-	G
CHEMBL49331_actives_final_000026.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-99.6552	0.636414	-	-	-	-	R
CHEMBL49331_actives_final_000026.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	81.2857	3.33107	-	-	-	-	G
CHEMBL50499_actives_final_000025.pdbqt	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-62.1504	3.37079	-	-	-	-	G
CHEMBL50499_actives_final_000025.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	80.0489	0.691754	-	-	-	-	R
CHEMBL50499_actives_final_000025.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	80.807	3.33107	-	-	-	-	G
CHEMBL289071_actives_final_000041.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-61.7916	1.82507	-	-	-	-	O
CHEMBL289071_actives_final_000041.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	75.3933	0.691754	-	-	-	-	R
CHEMBL289071_actives_final_000041.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	80.065	3.33107	-	-	-	-	G
CHEMBL51082_actives_final_000013.pdbqt	B	[cH0:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-61.9408	3.37079	-	-	-	-	G
CHEMBL51082_actives_final_000013.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-98.2542	0.636414	-	-	-	-	R
CHEMBL51082_actives_final_000013.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	80.6288	3.33107	-	-	-	-	G
CHEMBL39448_actives_final_000117.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	120.577	2.16942	-	-	-	-	G
CHEMBL39448_actives_final_000117.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	69.3621	0.0304321	-	-	-	-	R
CHEMBL39448_actives_final_000117.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	81.4042	3.33107	-	-	-	-	G
CHEMBL289854_actives_final_000056.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-60.3351	1.82507	-	-	-	-	O
CHEMBL289854_actives_final_000056.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	74.9891	2.29662	-	-	-	-	O
CHEMBL289854_actives_final_000056.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	79.4271	3.33107	-	-	-	-	G
CHEMBL38614_actives_final_000059.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	128.038	5.23416	-	-	-	-	G
CHEMBL38614_actives_final_000059.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-9.53126	3.03588	-	-	-	-	G
CHEMBL38614_actives_final_000059.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-60.5899	2.5759	-	-	-	-	G
CHEMBL38614_actives_final_000059.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	91.4716	3.9429	-	-	-	-	G
CHEMBL39971_actives_final_000111.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	119.351	2.16942	-	-	-	-	O
CHEMBL39971_actives_final_000111.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-105.699	1.66021	-	-	-	-	O
CHEMBL39971_actives_final_000111.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	86.6582	3.9429	-	-	-	-	G
CHEMBL39151_actives_final_000108.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	120.854	2.16942	-	-	-	-	G
CHEMBL39151_actives_final_000108.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-114.338	0.0304321	-	-	-	-	R
CHEMBL39151_actives_final_000108.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	84.0867	3.33107	-	-	-	-	G
CHEMBL39325_actives_final_000112.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	119.521	2.16942	-	-	-	-	O
CHEMBL39325_actives_final_000112.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-105.264	1.66021	-	-	-	-	O
CHEMBL39325_actives_final_000112.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	80.0031	3.33107	-	-	-	-	G
CHEMBL49089_actives_final_000097.pdbqt	B	[cH0:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-70.3566	5.06329	-	-	-	-	G
CHEMBL49089_actives_final_000097.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	75.3513	3.33107	-	-	-	-	G
CHEMBL49089_actives_final_000097.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	60.6316	6.39181	-	-	-	-	G
CHEMBL41719_actives_final_000049.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-59.186	1.82507	-	-	-	-	G
CHEMBL41719_actives_final_000049.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-111.958	0.0304321	-	-	-	-	R
CHEMBL41719_actives_final_000049.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	68.7563	2.58328	-	-	-	-	G
CHEMBL48928_actives_final_000004.pdbqt	B	[cH0:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	-100.103	0.636414	-	-	-	-	O
CHEMBL48928_actives_final_000004.pdbqt	B	[cH0:1][c:2]!@[c:3]([cH0])[nX2H0:4]	109.808	4.55696	-	-	-	-	G
CHEMBL48928_actives_final_000004.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	82.1362	3.33107	-	-	-	-	G
CHEMBL218169_actives_final_000074.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	130.017	4.02385	-	-	-	-	G
CHEMBL218169_actives_final_000074.pdbqt	B	[c:1][CX4:2]!@[CX3:3]=[O:4]	-99.3236	7.25453	-	-	-	-	G
CHEMBL218169_actives_final_000074.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	171.111	3.44986	-	-	-	-	G
CHEMBL218169_actives_final_000074.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	107.725	2.5299	-	-	-	-	G
CHEMBL49129_actives_final_000129.pdbqt	B	[aH0:1][c:2]!@[OX2:3][!#1:4]	136.749	0.316936	-	-	-	-	R
CHEMBL49129_actives_final_000129.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	169.223	3.44986	-	-	-	-	G
CHEMBL49129_actives_final_000129.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	56.9491	0	-	-	-	-	R
CHEMBL49129_actives_final_000129.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	86.6158	3.9429	-	-	-	-	G
CHEMBL50441_actives_final_000032.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	137.783	1.71461	-	-	-	-	O
CHEMBL50441_actives_final_000032.pdbqt	B	[cH1:1][c:2]([cH1])!@[NX3:3][a:4]	169.878	2.43826	-	-	-	-	O
CHEMBL50441_actives_final_000032.pdbqt	B	[cH1:1][c:2]([cH1])!@[c:3]([cH1:4])[cH1]	56.6042	0	-	-	-	-	R
CHEMBL50441_actives_final_000032.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	86.5571	3.9429	-	-	-	-	G
ZINC40871224_decoys_final_000750.pdbqt	B	[cH1,nX2H0:1][c:2]([cH1,nX2H0])!@[NX3r:3][*:4]	29.3031	2.135	-	-	-	-	O
ZINC40871224_decoys_final_000750.pdbqt	B	[C:1][CX4:2]!@[CX3:3]=[O:4]	150.18	1.17362	-	-	-	-	G
ZINC40871224_decoys_final_000750.pdbqt	B	[c:1][c:2]([cH0])!@[c:3][nX2H0:4]	109.289	2.55738	-	-	-	-	O
ZINC40871224_decoys_final_000750.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.00197867	63.7893	-	-	-	-	G
ZINC40871224_decoys_final_000750.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	48.6081	9.44882	-	-	-	-	G
ZINC07278815_decoys_final_005739.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	93.0193	14.7513	-	-	-	-	G
ZINC07278815_decoys_final_005739.pdbqt	B	N[C:2](=[O:1])!@[CH2:3][N:4]	127.426	0.744048	-	-	-	-	G
ZINC07278815_decoys_final_005739.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-0.0431755	63.7893	-	-	-	-	G
ZINC07278815_decoys_final_005739.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	92.4159	7.35439	-	-	-	-	G
ZINC07278815_decoys_final_005739.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX4H2:3][CX4:4]	-158.37	0.489433	-	-	-	-	R
ZINC07278815_decoys_final_005739.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	-138.077	0.0727312	-	-	-	-	R
ZINC07278815_decoys_final_005739.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	32.5239	4.04281	-	-	-	-	G
ZINC61378989_decoys_final_006487.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0800605	63.7893	-	-	-	-	G
ZINC61378989_decoys_final_006487.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][!#1:4]	151.144	1.53362	-	-	-	-	G
ZINC61378989_decoys_final_006487.pdbqt	B	[cH1:1][c:2]([cH1])!@[C:3]([NH1,NH2])=[O:4]	-22.4688	7.48113	-	-	-	-	G
ZINC61378989_decoys_final_006487.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([sX2,o,nX2H0,nX3H1:4])([cH0])	-29.6169	4.65593	-	-	-	-	G
ZINC61378989_decoys_final_006487.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	144.917	0.650908	-	-	-	-	O
CHEMBL218084_actives_final_000060.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-54.2103	5.54408	-	-	-	-	G
CHEMBL218084_actives_final_000060.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	173.456	3.44986	-	-	-	-	G
CHEMBL218084_actives_final_000060.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][c:4]	-66.039	2.34591	-	-	-	-	G
CHEMBL218084_actives_final_000060.pdbqt	B	[cH0:1][c:2]([cH0])!@[CX3:3]=[O:4]	67.4131	2.58328	-	-	-	-	G
CHEMBL218085_actives_final_000068.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	-57.9687	1.82507	-	-	-	-	G
CHEMBL218085_actives_final_000068.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	174.161	3.32588	-	-	-	-	G
CHEMBL218085_actives_final_000068.pdbqt	B	[aH1:1][c:2]([aH1])!@[SX2:3][!#1:4]	-69.8506	2.43153	-	-	-	-	G
