MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
ZINC44166922_decoys_final_001189.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	99.212	5.11126	-	-	-	-	G
ZINC44166922_decoys_final_001189.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	89.9386	0.374597	-	-	-	-	O
ZINC44166922_decoys_final_001189.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.088738	63.7893	-	-	-	-	G
ZINC44166922_decoys_final_001189.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	10.6954	9.86127	-	-	-	-	G
ZINC44166922_decoys_final_001189.pdbqt	B	[cH0:1][c:2]!@[CX4H1:3][CX4:4]	51.6293	0.593392	-	-	-	-	O
ZINC44166922_decoys_final_001189.pdbqt	B	[c:1][c:2]!@[c:3]([cH0])[nX2H0:4]	93.8498	0.619835	-	-	-	-	R
ZINC12858859_decoys_final_004445.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX3:4]	-97.1172	7.35294	-	-	-	-	G
ZINC12858859_decoys_final_004445.pdbqt	B	[c:1][CX4H2:2]!@[CX3:3]=[O:4]	118.115	1.4245	-	-	-	-	O
ZINC12858859_decoys_final_004445.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.000243828	63.7893	-	-	-	-	G
ZINC12858859_decoys_final_004445.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H1:3][H:4]	1.99598	8.26772	-	-	-	-	G
ZINC12858859_decoys_final_004445.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	9.90462	0.0551082	-	-	-	-	R
ZINC12858859_decoys_final_004445.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	87.4977	18.5823	-	-	-	-	G
ZINC12858859_decoys_final_004445.pdbqt	B	[NH1:1][CX4:2]!@[CX3:3]=[O:4]	55.8485	0.459488	-	-	-	-	O
CHEMBL441702_actives_final_000122.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	68.4206	0.831001	-	-	-	-	O
CHEMBL441702_actives_final_000122.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	-69.3744	0.676102	-	-	-	-	O
CHEMBL441702_actives_final_000122.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-4.61172	63.7893	-	-	-	-	G
CHEMBL441702_actives_final_000122.pdbqt	B	[$(C=O):1][NX3H1:2]!@[c:3]([cH1])[cH1:4]	-97.6213	0.0402739	-	-	-	-	R
ZINC08791652_decoys_final_005367.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	109.309	0.0798855	-	-	-	-	R
ZINC08791652_decoys_final_005367.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	98.8766	9.86278	-	-	-	-	G
ZINC08791652_decoys_final_005367.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][CX4:4]	123.903	1.08861	-	-	-	-	O
ZINC08791652_decoys_final_005367.pdbqt	B	[OX2:1][CX4H2:2]!@[CX4H2:3][Nr:4]	114.299	0	-	-	-	-	R
ZINC08791652_decoys_final_005367.pdbqt	B	[C:1][CH2:2]!@[O:3][CX4:4]	54.4887	0	-	-	-	-	R
ZINC63985140_decoys_final_001248.pdbqt	B	[$(C=O):1][NX3:2]!@[a:3][aH0:4]	-86.5975	3.39746	-	-	-	-	G
ZINC63985140_decoys_final_001248.pdbqt	B	[!#1:1][CX4r:2]!@[CX4r:3][!#1:4]	79.3971	2.41829	-	-	-	-	G
ZINC34814535_decoys_final_003952.pdbqt	B	[$(C=O):1][NX3H1:2]!@[CX4H2:3][$([c]([cH,nX2H0])[cH,nX2H0]):4]	92.1955	8.35443	-	-	-	-	G
ZINC34814535_decoys_final_003952.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	-5.241	15.5319	-	-	-	-	G
ZINC34814535_decoys_final_003952.pdbqt	B	[O:1]=[CX3:2]!@[NX3H0:3][!#1:4]	-175.026	18.2537	-	-	-	-	G
ZINC34814535_decoys_final_003952.pdbqt	B	[!#1:1][CX4H1:2]!@[NX3:3][!#1:4]	-179.701	2.80076	-	-	-	-	G
ZINC34814535_decoys_final_003952.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	64.5085	2.74321	-	-	-	-	G
ZINC12819671_decoys_final_001115.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	62.4638	0.592386	-	-	-	-	O
ZINC12819671_decoys_final_001115.pdbqt	B	[$([CX3]=O):1][NX3H0:2](C)!@[CX4H2:3][C:4]	-111.68	5.01715	-	-	-	-	G
