MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL277626_actives_final_000063.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-168.174	2.31009	-	-	-	-	G
CHEMBL277626_actives_final_000063.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-66.3492	2.25637	-	-	-	-	G
CHEMBL277626_actives_final_000063.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-127.752	0.897902	-	-	-	-	R
CHEMBL337859_actives_final_000094.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[NX2:4]	2.68997	14.4225	-	-	-	-	G
CHEMBL337859_actives_final_000094.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	40.2216	1.42924	-	-	-	-	O
CHEMBL305115_actives_final_000144.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	-6.1366	1.3282	-	-	-	-	G
CHEMBL305115_actives_final_000144.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-43.4708	3.86268	-	-	-	-	G
CHEMBL80236_actives_final_000132.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	179.02	7.22227	-	-	-	-	G
CHEMBL80236_actives_final_000132.pdbqt	B	[$([CX3]([C])([H])):1]=[CX3:2]([H])!@[CH1:3](C)[C:4]	128.29	10.0418	-	-	-	-	G
CHEMBL80236_actives_final_000132.pdbqt	B	[CX3:1]=[CX3:2]!@[CX3:3]=[CX3:4]	-166.469	9.49881	-	-	-	-	O
CHEMBL80236_actives_final_000132.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	89.9333	1.26539	-	-	-	-	G
CHEMBL62880_actives_final_000036.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	93.7253	4.22522	-	-	-	-	G
CHEMBL62880_actives_final_000036.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	119.653	1.12887	-	-	-	-	O
CHEMBL62880_actives_final_000036.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-85.0632	1.27397	-	-	-	-	G
CHEMBL312395_actives_final_000070.pdbqt	B	[*:1]~[CX4:2]!@[CX3:3]~[*:4]	113.52	2.57893	-	-	-	-	G
CHEMBL312395_actives_final_000070.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	6.97783	5.82078	-	-	-	-	G
CHEMBL312395_actives_final_000070.pdbqt	B	[CX3:1]=[CX3:2]!@[CX3:3]=[CX3:4]	-151.463	0.477327	-	-	-	-	R
CHEMBL312395_actives_final_000070.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	88.9155	1.26539	-	-	-	-	G
ZINC14990589_decoys_final_002687.pdbqt	B	[a:1][c:2]!@[CX4H1:3][H:4]	78.6064	0.544035	-	-	-	-	O
ZINC14990589_decoys_final_002687.pdbqt	B	[cH0:1][c:2]!@[CX4H2:3][N,O,S:4]	-24.8395	0.0685166	-	-	-	-	R
ZINC14990589_decoys_final_002687.pdbqt	B	[!#1:1][CX4H2:2]!@[NX3;"N_lp":3][!#1:4]	-89.5363	2.60541	-	-	-	-	G
CHEMBL187021_actives_final_000045.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-162.724	1.85882	-	-	-	-	G
CHEMBL187021_actives_final_000045.pdbqt	B	[a:1][c:2]!@[CX3:3]=[CX3H0:4]	-62.7596	3.49737	-	-	-	-	G
CHEMBL187021_actives_final_000045.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	-138.489	1.62093	-	-	-	-	O
CHEMBL187021_actives_final_000045.pdbqt	B	[$([cH0]([CX3])):1][c:2]([cH1])!@[O:3][C:4]	-122.911	0.347222	-	-	-	-	R
CHEMBL187021_actives_final_000045.pdbqt	B	[C:1][CX4H2:2]!@[OX2:3][c:4]	148.606	0.884397	-	-	-	-	O
CHEMBL187021_actives_final_000045.pdbqt	B	[!#1:1][CX4H2:2]!@[CX4H2:3][!#1:4]	12.3381	0.0269375	-	-	-	-	R
CHEMBL106896_actives_final_000098.pdbqt	B	[a:1][c:2]!@[CX4H0:3][a:4]	-26.0707	1.97413	-	-	-	-	G
CHEMBL106896_actives_final_000098.pdbqt	B	[cH0:1][c:2]!@[CX4H0:3][a:4]	127.16	1.03926	-	-	-	-	O
CHEMBL106896_actives_final_000098.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	170.089	8.01049	-	-	-	-	G
CHEMBL64222_actives_final_000107.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	94.2208	4.22522	-	-	-	-	G
CHEMBL64222_actives_final_000107.pdbqt	B	[a:1][a:2]!@[CX3:3]=[CX3H1:4]	126.111	1.53555	-	-	-	-	O
CHEMBL64222_actives_final_000107.pdbqt	B	[*^2:1]~[C^2:2]([!H])!@[C^2:3]~[*^2:4]	-87.3119	1.27397	-	-	-	-	G
CHEMBL101666_actives_final_000136.pdbqt	B	[cH1:1][c:2]([cH1])!@[CX3:3]=[O:4]	153.206	3.28558	-	-	-	-	G
