MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL171700_actives_final_000134.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-150.552	3.13346	-	-	-	-	G
CHEMBL171369_actives_final_000188.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-149.116	3.13346	-	-	-	-	G
CHEMBL49204_actives_final_000166.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	119.808	3.12393	-	-	-	-	G
CHEMBL77518_actives_final_000037.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-132.623	2.14174	-	-	-	-	G
CHEMBL77518_actives_final_000037.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	-166.837	5.51954	-	-	-	-	G
CHEMBL8275_actives_final_000018.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	84.6383	3.05908	-	-	-	-	G
CHEMBL605446_actives_final_000163.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-116.281	3.09532	-	-	-	-	G
CHEMBL605446_actives_final_000163.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	179.388	6.67845	-	-	-	-	G
CHEMBL607632_actives_final_000002.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-114.531	2.19133	-	-	-	-	G
CHEMBL607632_actives_final_000002.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	177.263	22.1548	-	-	-	-	G
CHEMBL611907_actives_final_000014.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	-115.606	3.09532	-	-	-	-	G
CHEMBL611907_actives_final_000014.pdbqt	B	[O:1][CX4:2]!@[CX3:3]=[O:4]	0.736895	13.789	-	-	-	-	G
ZINC40685698_decoys_final_002654.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	-14.4497	5.92329	-	-	-	-	G
ZINC40685698_decoys_final_002654.pdbqt	B	[a:1][a:2]!@[NX3:3][!#1:4]	93.3659	1.62893	-	-	-	-	O
CHEMBL31577_actives_final_000061.pdbqt	B	[*:1]~[CX4:2]!@[n:3]~[*:4]	123.757	3.12393	-	-	-	-	G
