MoleculeName	Type(Bond/Ring)	SMARTS	TorsionAngle	TorsionAngleScore	RingTorsion	RingTorsionScore	HeteroRingTorsion	HeteroRingTorsionScore	Category(Green/Orange/Red/Mixed)
CHEMBL37035_actives_final_000352.pdbqt	B	[!#1:1][CH2:2]!@[n:3][cH0:4]	-78.708	13.0259	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[!#1:1][CX4H2:2]!@[CX3:3]=[O:4]	3.15475	19.1789	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.00457087	63.7893	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[$([CX3]=O):1][NX3H1:2]!@[CX4H2:3][C:4] 	-106.121	3.99803	-	-	-	-	O
CHEMBL37035_actives_final_000352.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	162.608	1.81259	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[$(C=O):1][NX3:2]!@[$([a]([cH1])):3][$([aH0](!@O)):4]	-88.539	1.46341	-	-	-	-	O
CHEMBL37035_actives_final_000352.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	4.79517	63.7893	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[O:1]=[CX3:2]([NH1])!@[CH2:3][C:4]	-46.7431	6.60025	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[!#1:1][CX4:2]!@[CX4:3][!#1:4]	178.335	22.1548	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	65.4511	4.03272	-	-	-	-	G
CHEMBL37035_actives_final_000352.pdbqt	B	[a:1][c:2]!@[CX4H1:3][a:4]	35.7982	2.5409	-	-	-	-	G
CHEMBL367166_actives_final_000475.pdbqt	B	[cH1:1][c:2]([cH1])!@[O:3][C:4]	-20.8258	1.03814	-	-	-	-	O
CHEMBL367166_actives_final_000475.pdbqt	B	[c:1][CX4H2:2]!@[OX2:3][c:4]	152.174	1.03538	-	-	-	-	R
CHEMBL367166_actives_final_000475.pdbqt	B	[a:1][c:2]!@[CX4H2:3][!#1:4]	104.319	5.66419	-	-	-	-	G
CHEMBL367166_actives_final_000475.pdbqt	B	[a:1][c:2]!@[C:3](=[N:4])	107.702	0.56623	-	-	-	-	R
CHEMBL367166_actives_final_000475.pdbqt	B	[cH1:1][a:2]([cH1])!@[a:3]([cH0])[cH0:4]	104.204	5.52378	-	-	-	-	G
CHEMBL367166_actives_final_000475.pdbqt	B	[a:1][c:2]!@[C:3](=[N:4])	-26.3901	1.66156	-	-	-	-	G
CHEMBL544760_actives_final_000274.pdbqt	B	[$(S(=O)(=O)):1][NX3H1:2]!@[CX4H1:3][H:4]	8.61671	11.0497	-	-	-	-	G
CHEMBL544760_actives_final_000274.pdbqt	B	[N:1][CX4:2]!@[CX3:3]=[O:4]	-75.503	0.635944	-	-	-	-	O
CHEMBL544760_actives_final_000274.pdbqt	B	[O:1]=[CX3:2]!@[NX3H1:3][!#1:4]	0.0976657	63.7893	-	-	-	-	G
